Jamaal Charles, NE, 28
Matt Asiata, Atl, 27
DeMarco Murray, NO, 26
Frank Gore, Phi, 22
Matt Forte, GB, 16
Lamar Miller, @Oak, 16
Justin Forsett, Car, 15
Trent Richardson, Ten, 15
Alfred Morris, NYG, 14
Jerick McKinnon, Atl, 14
Antone Smith, @Min, 12
Andre Williams, @Wsh, 12
Ahmad Bradshaw, Ten, 11
Chris Johnson, Det, 11
Doug Martin, @Pit, 11
Knile Davis, NE, 11
Eddie Lacy, @Chi, 11
Bishop Sankey, @Ind, 11
Lorenzo Taliaferro, Car, 11
Le'Veon Bell, TB, 10
Chris Ivory, Det, 9
Khiry Robinson, @Dal, 9
Fred Jackson, @Hou, 8
C.J. Spiller, @Hou, 8
Darren McFadden, Mia, 7
Toby Gerhart, @SD, 7
Roy Helu, NYG, 7
Ka'Deem Carey, GB, 7
Darren Sproles, @SF, 6
Shane Vereen, @KC, 6
Patrick DiMarco, @Min, 6
Steven Jackson, @Min, 5
Reggie Bush, @NYJ, 5
Arian Foster, Buf, 5
Rashad Jennings, @Wsh, 5
Daniel Thomas, @Oak, 5
Branden Oliver, Jac, 5
Donald Brown, Jac, 4
DeAngelo Williams, @Bal, 3
Peyton Hillis, @Wsh, 3
Joique Bell, @NYJ, 3
Jacquizz Rodgers, @Min, 3
Lance Dunbar, NO, 3
Travaris Cadet, @Dal, 3
James White, @KC, 3
Darrin Reaves, @Bal, 3
LeGarrette Blount, @KC, 2
Stevan Ridley, @KC, 2
Jordan Todman, @SD, 2
Daniel Herron, Ten, 2
Denard Robinson, @SD, 2
Joseph Randle, NO, 2
Carlos Hyde, Phi, 2
Damien Williams, @Oak, 2
Jay Prosch, Buf, 2
Pierre Thomas, @Dal, 1
Shonn Greene, @Ind, 1
LeSean McCoy, @SF, 1
Bobby Rainey, @Pit, 1
Devonta Freeman, @Min, 1
Alfred Blue, Buf, 1
Tauren Poole, Car, -2
