Ben Tate, Jac, 28
DeMarco Murray, Oak, 27
Reggie Bush, GB, 21
Adrian Peterson, Chi, 21
Steven Jackson, @Buf, 20
C.J. Spiller, Atl, 20
Fred Jackson, Atl, 19
Le'Veon Bell, @Bal, 19
Joique Bell, GB, 18
Jamaal Charles, Den, 17
Andre Brown, NE, 17
Chris Johnson, Mia, 15
Matt Forte, @Min, 15
Rashad Jennings, @Wsh, 15
Knowshon Moreno, @NYJ, 14
BenJarvus Green-Ellis, @SD, 13
Willis McGahee, Jac, 12
Donald Brown, Cin, 12
Shane Vereen, @Hou, 12
Maurice Jones-Drew, @Dal, 11
Montee Ball, @KC, 11
LeSean McCoy, Ari, 10
LeGarrette Blount, @Bal, 10
Alfred Morris, NYG, 10
Antone Smith, @Buf, 9
Ryan Mathews, Cin, 9
Lance Dunbar, Oak, 9
Knile Davis, Den, 9
Frank Gore, StL, 8
Mike Tolbert, TB, 8
Lamar Miller, @NYJ, 8
Rashard Mendenhall, @Phi, 7
Chris Ivory, Mia, 7
James Develin, @Hou, 7
Zac Stacy, @SF, 7
Ray Rice, Pit, 6
Derrick Coleman, NO, 6
Bobby Rainey, @Car, 6
Marshawn Lynch, NO, 5
Bilal Powell, Mia, 5
Giovani Bernard, @SD, 5
Stepfan Taylor, @Phi, 5
Darren Sproles, Ari, 4
Peyton Hillis, @Wsh, 4
Jordan Todman, @Cle, 4
Jonathan Stewart, TB, 3
Danny Woodhead, Cin, 3
Shonn Greene, @Ind, 3
Chris Ogbonnaya, Jac, 3
Roy Helu, NYG, 3
Bernard Pierce, Pit, 3
Robert Turbin, NO, 3
Eddie Lacy, @Det, 3
Michael Robinson, NO, 2
Pierre Thomas, @Sea, 2
Mark Ingram, @Sea, 2
Bruce Miller, StL, 2
Stanley Havili, Ten, 2
Jacquizz Rodgers, @Buf, 2
Mike Gillislee, @NYJ, 2
Dennis Johnson, NE, 2
Brian Leonard, @Car, 1
Michael Bush, @Min, 1
Darren McFadden, @Dal, 1
Jed Collins, GB, 1
Marcus Thigpen, @NYJ, 1
Anthony Dixon, Atl, 1
Trent Richardson, Ten, 1
Isaiah Pead, @SF, 1
Brandon Bolden, @Hou, 1
Fozzy Whittaker, Jac, 1
Benny Cunningham, @SF, 1
