Jamaal Charles, @Oak, 51
Matt Asiata, Phi, 24
Eddie Lacy, @Dal, 23
DeAngelo Williams, NYJ, 22
Rashad Jennings, Sea, 22
DeMarco Murray, GB, 20
Zac Stacy, NO, 20
Rashard Mendenhall, @Ten, 18
Ryan Mathews, @Den, 18
Marshawn Lynch, @NYG, 17
Le'Veon Bell, Cin, 16
Steven Jackson, Wsh, 15
Reggie Bush, Bal, 15
Chris Johnson, @Car, 15
Trent Richardson, Hou, 15
Andre Ellington, @Ten, 15
Jordan Todman, Buf, 14
Edwin Baker, Chi, 13
Matt Forte, @Cle, 12
Michael Bush, @Cle, 10
Kendall Hunter, @TB, 10
Giovani Bernard, @Pit, 10
LeSean McCoy, @Min, 9
Ben Tate, Chi, 9
Knile Davis, @Oak, 9
Frank Gore, @TB, 8
Fred Jackson, @Jac, 8
Pierre Thomas, @StL, 8
Marcus Thigpen, NE, 8
Frank Summers, @Jac, 8
James Starks, @Dal, 8
Mike Tolbert, NYJ, 7
Daniel Thomas, NE, 7
Marcel Reece, KC, 6
C.J. Spiller, @Jac, 6
Chris Ivory, @Car, 6
Lamar Miller, NE, 6
Darren Sproles, @Min, 5
Ray Rice, @Det, 5
Alfred Morris, @Atl, 5
Knowshon Moreno, NE, 4
LeGarrette Blount, Cin, 4
Joique Bell, Bal, 4
Bilal Powell, @Car, 4
Montee Ball, SD, 4
Danny Woodhead, @Den, 3
Donald Brown, @Den, 3
Chris Ogbonnaya, Chi, 3
Mark Ingram, @StL, 3
Stevan Ridley, @Mia, 3
Taiwan Jones, KC, 3
Jacquizz Rodgers, Wsh, 3
Robert Turbin, @NYG, 3
Felix Jones, Cin, 2
Peyton Hillis, Sea, 2
Jonathan Dwyer, @Ten, 2
Deji Karim, @Ind, 2
Bruce Miller, @TB, 2
LaMichael James, @TB, 2
Bernard Pierce, @Det, 2
Bobby Rainey, SF, 2
Ronnie Brown, @Den, 1
Brian Leonard, SF, 1
Tashard Choice, Hou, 1
Andre Brown, @Ind, 1
Shane Vereen, @Mia, 1
Anthony Sherman, @Oak, 1
Cyrus Gray, @Oak, 1
Dennis Johnson, @Ind, 1
