Dan Bailey, GB, 24
Justin Tucker, @Det, 23
Phil Dawson, @TB, 17
Jay Feely, @Ten, 15
Adam Vinatieri, Hou, 13
Shaun Suisham, Cin, 13
Steven Hauschka, @NYG, 13
Graham Gano, NYJ, 13
Alex Henery, @Min, 12
Matt Bryant, Wsh, 11
Blair Walsh, Phi, 11
Josh Scobee, Buf, 10
Rob Bironas, Ari, 10
Nick Folk, @Car, 10
Dan Carpenter, @Jac, 10
Nick Novak, @Den, 9
Mason Crosby, @Dal, 9
Matt Prater, SD, 9
Greg Zuerlein, NO, 9
Robbie Gould, @Cle, 8
Ryan Succop, @Oak, 8
Kai Forbath, @Atl, 8
Sebastian Janikowski, KC, 7
Billy Cundiff, Chi, 7
Stephen Gostkowski, @Mia, 7
Caleb Sturgis, NE, 6
David Akers, Bal, 5
Randy Bullock, @Ind, 4
Garrett Hartley, @StL, 3
Rian Lindell, SF, 2
Mike Nugent, @Pit, 2
