season 2012 ARI 2  -  13 8 94 11.8 0 13.4 6.7
    week 1 SEA W 20-16 4 3 32 10.7 0 4.7
    week 2 @NE W 20-18 9 5 62 12.4 0 8.7
season 2011 ARI 10 4 36 24 283 11.8 1 46.3 4.6
season 2010 BAL 13 13 64 40 599 15.0 5 109.9 8.5
season 2009 BAL 16 16 75 53 593 11.2 6 122.0 7.6
season 2008 BAL 16 16 64 35 403 11.5 3 73.8 4.6
season 2007 BAL 6 5 34 23 239 10.4 1 41.4 6.9
season 2006 BAL 16 16 115 73 765 10.5 6 149.0 9.3
season 2005 BAL 16 16 114 75 855 11.4 7 163.0 10.2
season 2004 BAL 6 6 44 27 303 11.2 3 61.8 10.3
season 2003 BAL 16 16 - 57 693 12.2 3 117.9 7.4
season 2002 BAL 16 16 - 68 836 12.3 6 157.4 9.8
season 2001 BAL 12 5 - 16 206 12.9 1 32.6 2.7
