season 2013 PIT 5  -  10 6 102 17.0 0 11.2 2.2
    week 2 at CIN L 10-20 4 3 49 16.3 0 4.4
    week 3 CHI L 23-40 2 1 6 6.0 0 1.1
    week 7 BAL W 19-16 1 1 17 17.0 0 2.2
    week 11 DET W 37-27 2 0 0 - 0 0.0
    week 16 at GB W 38-31 1 1 30 30.0 0 3.5
season 2012 PIT 8  -  11 7 51 7.3 0 8.6 1.1
    week 5 PHI W 16-14 1 1 8 8.0 0 1.3
    week 6 at TEN L 23-26 1 1 8 8.0 0 1.3
    week 7 at CIN W 24-17 1 1 7 7.0 0 1.2
    week 9 at NYG W 24-20 2 1 7 7.0 0 1.2
    week 10 KC W 16-13 2 2 15 7.5 0 2.5
    week 11 BAL L 10-13 2 1 6 6.0 0 1.1
    week 16 CIN L 10-13 1 0 0 - 0 0.0
    week 17 CLE W 24-10 1 0 0 - 0 0.0
