season 2014 TEN 8  -  14 6 64 10.7 1 15.4 1.9
    week 8 at ARI L 13-27 2 0 0 - 0 0.0
season 2012 ATL 1  -  1 1 11 11.0 0 1.6 1.6
    week 14 at CAR L 20-30 1 1 11 11.0 0 1.6
    week DP SEA W 30-28 1 1 16 16.0 0 2.1
season 2010 CIN 6 0 5 3 30 10.0 0 4.5 0.8
season 2009 CIN 0 0 0 0 0 - 0 0.0 0.0
