season 2014 NE 1  -  1 0 0 - 0 0.0 0.0
    week 2 MIN W 31-30 1 0 0 - 0 0.0
    week 3 at PIT W 40-23 1 0 0 - 0 0.0
season 2012 KC 5  -  12 5 51 10.2 0 7.6 1.5
season 2011 KC 1 0 1 1 1 1.0 0 0.6 0.6
