season 2014 GB 2  -  4 2 3 1.5 1 7.3 3.7
    week 7 CAR W 38-17 2 1 2 2.0 0 0.7
    week 10 CHI W 55-14 2 1 1 1.0 1 6.6
season 2013 GB 5  -  15 7 120 17.1 1 21.5 4.3
    week 10 PHI L 13-27 3 3 42 14.0 1 11.7
    week 11 at NYG L 13-27 1 1 26 26.0 0 3.1
    week 12 MIN T 26-26 5 1 24 24.0 0 2.9
    week 14 ATL W 22-21 4 2 28 14.0 0 3.8
    week 15 at DAL W 37-36 1 0 0 - 0 0.0
