season 2013 ARI 1  -  1 1 16 16.0 0 2.1 2.1
    week 1 @STL L 24-27 1 1 16 16.0 0 2.1
season 2011 SD 16 5 5 1 32 32.0 0 3.7 0.2
season 2010 SD 7 1 4 4 73 18.3 0 9.3 1.3
season 2009 MIA 8 1 6 3 31 10.3 1 10.6 1.3
