season 2014 JAC 3  -  3 0 0 - 0 0.0 0.0
    week 1 at PHI L 17-34 1 0 0 - 0 0.0
    week 2 at WAS L 10-41 1 0 0 - 0 0.0
    week 3 IND L 17-44 1 0 0 - 0 0.0
season 2011 MIN 0 0 0 0 0 - 0 0.0 0.0
season 2010 MIA | MIN 5 2 5 2 44 22.0 0 5.4 1.1
