season 2013 CAR 2  -  1 1 12 12.0 0 -0.2 -0.1
    week 3 NYG W 38-0 0 0 0 - 0 -1.9
    week 8 at TB W 31-13 1 1 12 12.0 0 1.7
season 2012 CAR 1  -  1 0 0 - 0 0.0 0.0
season 2011 CAR 11 2 3 3 13 4.3 0 10.0 0.9
