season 2013 DET 3  -  11 5 46 9.2 0 0 0 - 0 7.1 2.4
    week 1 MIN W 34-24 3 3 30 10.0 0 0 0 - 0 4.5
    week 5 @GB L 9-22 5 2 16 8.0 0 0 0 - 0 2.6
    week 6 @CLE W 31-17 3 0 0 - 0 0 0 - 0 0.0
