season 2012 SD 1  -  2 0 0 - 0 0 0 - 0 0.0 0.0
    week 6 DEN L 24-35 2 0 0 - 0 0 0 - 0 0.0
season 2011 SD 16 1 2 0 0 - 0 0 0 - 0 0.0 0.0
season 2010 SD 3 0 2 1 25 25.0 0 0 0 - 0 1.0 0.3
