season 2012 MIA 2  -  9 3 12 4.0 0 0 0 - 0 2.7 1.4
    week 1 @HOU L 10-30 3 1 3 3.0 0 0 0 - 0 0.8
    week 3 NYJ L 20-23 6 2 9 4.5 0 0 0 - 0 1.9
season 2011 WAS 14 2 27 7 103 14.7 2 2 19 9.5 0 27.7 2.0
season 2010 WAS 15 11 86 44 871 19.8 3 0 0 - 0 125.1 8.3
