season 2013 JAC 4  -  8 3 18 6.0 0 0 0 - 0 3.3 0.8
    week 2 at OAK L 9-19 1 1 5 5.0 0 0 0 - 0 1.0
    week 4 IND L 3-37 3 1 5 5.0 0 0 0 - 0 1.0
    week 5 at STL L 20-34 2 0 0 - 0 0 0 - 0 0.0
    week 15 BUF L 20-27 2 1 8 8.0 0 0 0 - 0 1.3
