season 2015 (Projected) BAL - - - 6 76 12.7 0 0 0 - 0 10.6 -
season 2014 BAL 4  -  9 7 102 14.6 1 0 0 - 0 19.7 4.9
    week 6 at TB W 48-17 2 2 28 14.0 1 0 0 - 0 9.8
    week 7 ATL W 29-7 1 1 17 17.0 0 0 0 - 0 2.2
    week 8 at CIN L 24-27 3 3 40 13.3 0 0 0 - 0 5.5
    week 17 CLE W 20-10 3 1 17 17.0 0 0 0 - 0 2.2
    week DP at NE L 31-35 4 4 39 9.8 0 1 0 0.0 0 5.9
