season 2013 KC 4  -  7 2 20 10.0 0 0 0 - 0 3.0 0.8
    week 3 at PHI W 26-16 1 0 0 - 0 0 0 - 0 0.0
    week 5 at TEN W 26-17 4 1 9 9.0 0 0 0 - 0 1.4
    week 8 CLE W 23-17 1 0 0 - 0 0 0 - 0 0.0
    week 15 at OAK W 56-31 1 1 11 11.0 0 0 0 - 0 1.6
season 2011 PHI 7 0 9 3 20 6.7 1 3 13 4.3 0 10.8 1.5
season 2010 PHI 8 1 18 11 115 10.5 1 9 29 3.2 0 25.9 3.2
