season 2012 TB 4  -  6 4 26 6.5 0 3 16 5.3 0 6.2 1.6
    week 3 @DAL L 10-16 1 1 8 8.0 0 0 0 - 0 1.3
    week 4 WAS L 22-24 4 3 18 6.0 0 1 5 5.0 0 3.8
    week 7 NO L 28-35 0 0 0 - 0 1 2 2.0 0 0.2
    week 8 @MIN W 36-17 1 0 0 - 0 1 9 9.0 0 0.9
season 2011 TB 14 14 51 30 441 14.7 3 6 -7 -1.2 0 76.4 5.5
season 2010 TB 15 9 38 25 395 15.8 2 6 35 5.8 0 67.5 4.5
