season 2012 NYJ 2  -  3 2 15 7.5 1 0 0 - 0 8.5 4.3
    week 5 HOU L 17-23 2 1 10 10.0 0 0 0 - 0 1.5
    week 6 IND W 35-9 1 1 5 5.0 1 0 0 - 0 7.0
season 2011 JAC 10 10 55 25 367 14.7 3 0 0 - 0 67.2 6.7
season 2010 SF | JAC 8 1 21 11 248 22.5 1 0 0 - 0 36.3 4.5
season 2009 SF 11 0 17 9 90 10.0 2 0 0 - 0 25.5 2.3
season 2008 SF 16 2 41 31 319 10.3 2 2 5 2.5 0 59.9 3.7
season 2007 SF 5 0 2 1 6 6.0 0 0 0 - 0 1.1 0.2
