season 2014 PHI 4  -  6 5 46 9.2 0 0 0 - 0 7.1 1.8
    week 1 JAC W 34-17 1 1 12 12.0 0 0 0 - 0 1.7
    week 3 WAS W 37-34 1 1 15 15.0 0 0 0 - 0 2.0
    week 8 at ARI L 20-24 1 1 6 6.0 0 0 0 - 0 1.1
    week 9 at HOU W 31-21 3 2 13 6.5 0 0 0 - 0 2.3
season 2013 PHI 5  -  9 4 67 16.8 1 0 0 - 0 14.7 2.9
    week 4 at DEN L 20-52 2 2 43 21.5 1 0 0 - 0 11.3
    week 6 at TB W 31-20 1 1 5 5.0 0 0 0 - 0 1.0
    week 7 DAL L 3-17 4 0 0 - 0 0 0 - 0 0.0
    week 9 at OAK W 49-20 1 1 19 19.0 0 0 0 - 0 2.4
    week 11 WAS W 24-16 1 0 0 - 0 0 0 - 0 0.0
season 2011 HOU 3 0 1 0 0 - 0 0 0 - 0 0.0 0.0
