Aaron Rodgers, Phi, 28
Jay Cutler, Min, 23
Russell Wilson, @KC, 22
Andy Dalton, @NO, 21
Josh McCown, @Wsh, 19
Andrew Luck, NE, 19
Cam Newton, Atl, 18
Drew Stanton, Det, 16
Ryan Tannehill, Buf, 16
Zach Mettenberger, Pit, 16
Peyton Manning, @StL, 15
Brian Hoyer, Hou, 15
Tom Brady, @Ind, 14
Drew Brees, Cin, 14
Matt Ryan, @Car, 14
Ryan Mallett, @Cle, 14
Mark Sanchez, @GB, 13
Colin Kaepernick, @NYG, 13
Shaun Hill, Den, 12
Robert Griffin, TB, 12
Philip Rivers, Oak, 11
Ben Roethlisberger, @Ten, 10
Teddy Bridgewater, @Chi, 8
Kyle Orton, @Mia, 7
Eli Manning, SF, 5
Matthew Stafford, @Ari, 5
Alex Smith, Sea, 4
Derek Carr, @SD, 4
Matt Flynn, Phi, 1
