Jimmy Graham, Bal, 16
Delanie Walker, @Phi, 15
Tim Wright, Det, 15
Jason Witten, @NYG, 9
Anthony Fasano, @Oak, 9
Scott Chandler, NYJ, 8
Cooper Helfet, Ari, 8
James Casey, Ten, 7
Rob Gronkowski, Det, 7
Adrien Robinson, Dal, 6
Travis Kelce, @Oak, 6
Richard Rodgers, @Min, 6
Andrew Quarless, @Min, 5
Kyle Rudolph, GB, 5
Brent Celek, Ten, 4
Garrett Graham, Cin, 4
Daniel Fells, Dal, 3
Martellus Bennett, TB, 3
Jermaine Gresham, @Hou, 3
Tony Moeaki, Ari, 3
Ladarius Green, StL, 3
Zach Ertz, Ten, 3
Dion Sims, @Den, 3
Vernon Davis, Wsh, 2
John Carlson, @Sea, 2
Gary Barnidge, @Atl, 2
Jared Cook, @SD, 2
Coby Fleener, Jac, 2
James Hanna, @NYG, 2
Larry Donnell, Dal, 2
Luke Willson, Ari, 2
Josh Hill, Bal, 2
Eric Ebron, @NE, 2
Antonio Gates, StL, 1
Lance Kendricks, @SD, 1
Niles Paul, @SF, 1
Lee Smith, NYJ, 1
Rhett Ellison, GB, 1
Chase Ford, GB, 1
Chris Gragg, NYJ, 1
Levine Toilolo, Cle, 1
Austin Seferian-Jenkins, @Chi, 1
