Calvin Johnson, Cin, 27
Vincent Jackson, @Atl, 25
Eric Decker, NE, 21
A.J. Green, @Det, 21
Harry Douglas, TB, 20
Brandon Gibson, Buf, 16
Jarrett Boykin, Cle, 16
Jeremy Kerley, NE, 15
Demaryius Thomas, @Ind, 14
Darrius Heyward-Bey, Bal, 13
Aldrick Robinson, Chi, 13
DeAndre Hopkins, @KC, 13
Terrance Williams, @Phi, 13
Steve Smith, @Pit, 12
Eddie Royal, @Jac, 12
Mike Brown, SD, 12
Sidney Rice, @Ari, 11
Dez Bryant, @Phi, 11
Alshon Jeffery, @Wsh, 11
Marvin Jones, @Det, 11
Jordy Nelson, Cle, 10
Wes Welker, @Ind, 9
Kendall Wright, SF, 9
Brian Quick, @Car, 9
Jaron Brown, Sea, 9
Andre Johnson, @KC, 8
Mike Wallace, Buf, 8
Riley Cooper, Dal, 8
David Nelson, NE, 8
Cecil Shorts, SD, 8
Rueben Randle, Min, 8
Anquan Boldin, @Ten, 7
Brandon Marshall, @Wsh, 7
Dexter McCluster, SF, 7
Golden Tate, Cin, 7
Kassim Osgood, @Ten, 6
Nate Washington, SF, 6
Devin Hester, TB, 6
Dwayne Bowe, Hou, 6
Steve Johnson, @Mia, 6
Brian Hartline, Buf, 6
Torrey Smith, @Pit, 6
Keenan Allen, @Jac, 6
Reggie Wayne, Den, 5
Pierre Garcon, Chi, 5
Kevin Ogletree, Cin, 5
Victor Cruz, Min, 5
Antonio Brown, Bal, 5
Justin Blackmon, SD, 5
Michael Floyd, Sea, 5
Cole Beasley, @Phi, 5
Jerricho Cotchery, StL, 4
Greg Jennings, @NYG, 4
Julian Edelman, @NYJ, 4
Greg Little, @GB, 4
Kris Durham, Cin, 4
DeVier Posey, @KC, 4
Jason Avant, StL, 3
Ted Ginn, Sea, 3
Jacoby Jones, @Pit, 3
Donnie Avery, Hou, 3
Jerome Simpson, @NYG, 3
Brandon LaFell, @NYJ, 3
Andre Roberts, Chi, 3
Mike Williams, @Mia, 3
Tandon Doss, SD, 3
T.J. Graham, @Mia, 3
Aaron Dobson, @NYJ, 3
DeSean Jackson, Chi, 2
Earl Bennett, @Wsh, 2
Hakeem Nicks, Den, 2
Damian Williams, Buf, 2
Leonard Hankerson, Chi, 2
Vincent Brown, @Jac, 2
Drew Davis, TB, 2
Lestar Jean, @NYG, 2
T.Y. Hilton, Den, 2
Chris Givens, @Car, 2
Chris Owusu, @Atl, 2
Josh Gordon, @GB, 2
Cordarrelle Patterson, @NYG, 2
Robert Woods, @Mia, 2
Darius Johnson, TB, 2
Marlon Brown, @Pit, 2
Larry Fitzgerald, Sea, 1
Josh Cribbs, NE, 1
Davone Bess, @GB, 1
Austin Collie, @NYJ, 1
Austin Pettis, @Car, 1
Doug Baldwin, @Ari, 1
Stephen Hill, NE, 1
Jarius Wright, @NYG, 1
Ryan Broyles, Cin, 1
Mohamed Sanu, @Det, 1
Derek Moye, Bal, 1
Jermaine Kearse, @Ari, 1
Tavon Austin, @Car, 1
Kenbrell Thompkins, @NYJ, 1
Trindon Holliday, Min, -2
