Luke Willson, @Ari, 25
Antonio Gates, @SF, 21
Jason Witten, Ind, 15
Jordan Cameron, @Car, 14
Jermaine Gresham, Den, 12
Charles Clay, Min, 11
Zach Ertz, @Wsh, 11
Jeff Cumberland, NE, 10
Scott Chandler, @Oak, 9
Rob Gronkowski, @NYJ, 9
Jimmy Graham, Atl, 9
Lance Kendricks, NYG, 9
Dion Sims, Min, 9
C.J. Fiedorowicz, Bal, 7
Heath Miller, KC, 6
Marcedes Lewis, Ten, 6
Delanie Walker, @Jac, 5
Jared Cook, NYG, 4
Ed Dickson, Cle, 4
Rhett Ellison, @Mia, 4
Larry Donnell, @StL, 4
Julius Thomas, @Cin, 3
Coby Fleener, @Dal, 3
Travis Kelce, @Pit, 3
Daniel Fells, @StL, 2
Greg Olsen, Cle, 2
Chase Ford, @Mia, 2
Ryan Griffin, Bal, 2
Jack Doyle, @Dal, 2
Darren Fells, Sea, 2
Brent Celek, @Wsh, 1
John Carlson, Sea, 1
Chase Coffman, @Jac, 1
Andrew Quarless, @TB, 1
Rob Housler, Sea, 1
Levine Toilolo, @NO, 1
Tim Wright, @NYJ, 1
MarQueis Gray, @Oak, 1
Richard Rodgers, @TB, 1
