Rams D/ST, Oak, 29
Vikings D/ST, Car, 25
Jaguars D/ST, NYG, 22
Bills D/ST, Cle, 17
Seahawks D/ST, @SF, 17
Broncos D/ST, @KC, 16
Eagles D/ST, @Dal, 15
Colts D/ST, Wsh, 11
Buccaneers D/ST, Cin, 11
Texans D/ST, Ten, 11
Lions D/ST, Chi, 10
Browns D/ST, @Buf, 9
Giants D/ST, @Jac, 9
Bengals D/ST, @TB, 8
Dolphins D/ST, @NYJ, 7
Jets D/ST, Mia, 7
Falcons D/ST, Ari, 6
Panthers D/ST, @Min, 4
49ers D/ST, Sea, 3
Cardinals D/ST, @Atl, 2
Ravens D/ST, SD, 2
Packers D/ST, NE, 1
Chiefs D/ST, Den, 1
Bears D/ST, @Det, -2
Patriots D/ST, @GB, -2
Saints D/ST, @Pit, -2
Chargers D/ST, @Bal, -2
Cowboys D/ST, Phi, -3
Steelers D/ST, NO, -3
Redskins D/ST, @Ind, -3
Raiders D/ST, @StL, -4
