Cardinals D/ST, Car, 20
49ers D/ST, Hou, 19
Browns D/ST, Buf, 18
Raiders D/ST, SD, 18
Chiefs D/ST, @Ten, 16
Bengals D/ST, NE, 14
Rams D/ST, Jac, 13
Dolphins D/ST, Bal, 11
Patriots D/ST, @Cin, 11
Packers D/ST, Det, 10
Colts D/ST, Sea, 10
Panthers D/ST, @Ari, 10
Seahawks D/ST, @Ind, 9
Eagles D/ST, @NYG, 8
Ravens D/ST, @Mia, 8
Chargers D/ST, @Oak, 6
Falcons D/ST, NYJ, 5
Titans D/ST, KC, 5
Bills D/ST, @Cle, 4
Jets D/ST, @Atl, 4
Saints D/ST, @Chi, 2
Texans D/ST, @SF, 2
Bears D/ST, NO, 1
Lions D/ST, @GB, -2
Broncos D/ST, @Dal, -3
Giants D/ST, Phi, -5
Cowboys D/ST, Den, -7
