season 2014 ARI 4  -  53 246 4.6 0 6 2 11 5.5 0 26.7 6.7
    week 14 KC W 17-14 19 100 5.3 0 0 0 0 - 0 10.0
    week 15 at STL W 12-6 15 75 5.0 0 5 2 11 5.5 0 9.6
    week 16 SEA L 6-35 2 4 2.0 0 0 0 0 - 0 0.4
    week 17 at SF L 17-20 17 67 3.9 0 1 0 0 - 0 6.7
    week WC at CAR L 16-27 10 23 2.3 0 3 3 0 0.0 0 3.8
