season 2014 NYG 4  -  9 23 2.6 1 6 5 48 9.6 0 15.6 3.9
    week 2 at BUF L 10-29 0 0 - 0 3 3 31 10.3 0 4.6
    week 4 at OAK W 38-14 4 2 0.5 0 0 0 0 - 0 0.2
    week 14 at TEN W 36-7 1 0 0.0 0 1 0 0 - 0 0.0
    week 16 at STL W 37-27 4 21 5.3 1 2 2 17 8.5 0 10.8
