season 2013 HOU 2  -  12 51 4.3 0 2 1 -1 -1.0 0 5.5 2.8
    week 15 at IND L 3-25 4 21 5.3 0 1 0 0 - 0 2.1
    week 16 DEN L 13-37 8 30 3.8 0 1 1 -1 -1.0 0 3.4
season 2011 JAC 12 0 63 130 2.1 0 19 14 120 8.6 0 32.0 2.7
season 2010 JAC 11 0 35 160 4.6 0 7 3 10 3.3 0 18.5 1.7
