season 2015 (Projected) IND - - 80 343 4.3 2 - 23 185 8.0 0 74.3 -
season 2014 IND 11  -  78 351 4.5 1 26 21 173 8.2 0 64.9 5.9
    week 3 at JAC W 44-17 1 1 1.0 0 0 0 0 - 0 0.1
    week 4 TEN W 41-17 7 24 3.4 0 0 0 0 - 0 2.4
    week 7 CIN W 27-0 5 37 7.4 0 0 0 0 - 0 3.7
    week 8 at PIT L 34-51 1 2 2.0 0 1 1 5 5.0 0 1.2
    week 9 at NYG W 40-24 8 10 1.3 0 1 1 4 4.0 0 1.9
    week 12 JAC W 23-3 12 65 5.4 0 5 5 31 6.2 0 10.1
    week 13 WAS W 49-27 8 88 11.0 1 2 2 8 4.0 0 14.6
    week 14 at CLE W 25-24 8 26 3.3 0 7 4 45 11.3 0 9.1
    week 15 HOU W 17-10 11 60 5.5 0 3 2 12 6.0 0 8.2
    week 16 at DAL L 7-42 7 3 0.4 0 4 3 37 12.3 0 5.5
    week 17 at TEN W 27-10 10 35 3.5 0 3 3 31 10.3 0 8.1
    week WC CIN W 26-10 12 56 4.7 1 11 10 85 8.5 0 23.1
    week DP at DEN W 24-13 23 63 2.7 1 8 8 32 4.0 0 19.5
    week CC at NE L 7-45 10 51 5.1 0 4 2 11 5.5 0 7.2
season 2013 IND 2  -  5 33 6.6 0 1 1 57 57.0 0 9.5 4.8
    week 10 STL L 8-38 1 0 0.0 0 1 1 57 57.0 0 6.2
    week 12 at ARI L 11-40 4 33 8.3 0 0 0 0 - 0 3.3
season 2012 CIN 2  -  4 5 1.3 0 1 0 0 - 0 0.5 0.3
    week 15 at PHI W 34-13 3 8 2.7 0 0 0 0 - 0 0.8
    week 17 BAL W 23-17 1 -3 -3.0 0 1 0 0 - 0 -0.3
