season 2014 ATL 9  -  0 0 - 0 14 9 62 6.9 1 16.7 1.9
    week 3 TB W 56-14 0 0 - 0 3 3 35 11.7 0 5.0
    week 4 at MIN L 28-41 0 0 - 0 1 1 1 1.0 1 6.6
    week 8 DET L 21-22 0 0 - 0 2 1 0 0.0 0 0.5
    week 10 at TB W 27-17 0 0 - 0 2 0 0 - 0 0.0
    week 11 at CAR W 19-17 0 0 - 0 2 2 14 7.0 0 2.4
    week 13 ARI W 29-18 0 0 - 0 1 0 0 - 0 0.0
    week 14 at GB L 37-43 0 0 - 0 1 1 9 9.0 0 1.4
    week 16 at NO W 30-14 0 0 - 0 1 1 3 3.0 0 0.8
    week 17 CAR L 3-34 0 0 - 0 1 0 0 - 0 0.0
