season 2014 BAL 2  -  6 12 2.0 0 6 3 27 9.0 0 5.4 2.7
    week 16 @HOU L 13-25 4 11 2.8 0 5 2 20 10.0 0 4.1
    week 17 CLE W 20-10 2 1 0.5 0 1 1 7 7.0 0 1.3
    week DP @NE L 31-35 2 5 2.5 0 2 1 -7 -7.0 0 0.3
