season 2014 DET 5  -  19 73 3.8 0 3 0 0 - 0 7.3 1.5
    week 5 BUF L 14-17 11 48 4.4 0 2 0 0 - 0 4.8
    week 6 at MIN W 17-3 5 16 3.2 0 0 0 0 - 0 1.6
    week 8 at ATL W 22-21 1 2 2.0 0 1 0 0 - 0 0.2
    week 14 TB W 34-17 1 2 2.0 0 0 0 0 - 0 0.2
    week 16 at CHI W 20-14 1 5 5.0 0 0 0 0 - 0 0.5
