season 2013 CHI 4  -  0 0 - 0 6 4 57 14.3 0 7.7 1.9
    week 6 NYG W 27-21 0 0 - 0 1 1 30 30.0 0 3.5
    week 10 DET L 19-21 0 0 - 0 1 1 4 4.0 0 0.9
    week 11 BAL W 23-20 0 0 - 0 1 0 0 - 0 0.0
    week 12 at STL L 21-42 0 0 - 0 3 2 23 11.5 0 3.3
season 2011 DAL 10 6 4 4 1.0 0 5 3 39 13.0 0 5.8 0.6
season 2010 CAR 14 10 7 22 3.1 0 10 5 34 6.8 0 8.1 0.6
season 2009 CAR 10 3 0 0 - 0 3 0 0 - 0 0.0 0.0
