season 2012 BUF 3  -  8 34 4.3 0 0 0 0 - 0 3.4 1.1
    week 2 KC W 35-17 5 11 2.2 0 0 0 0 - 0 1.1
    week 3 @CLE W 24-14 2 15 7.5 0 0 0 0 - 0 1.5
    week 4 NE L 28-52 1 8 8.0 0 0 0 0 - 0 0.8
season 2011 BUF 11 0 12 38 3.2 0 4 1 -3 -3.0 0 4.0 0.4
