season 2014 MIA 3  -  5 9 1.8 0 1 0 0 - 0 0.9 0.3
    week 1 at DAL W 28-17 2 0 0.0 0 0 0 0 - 0 0.0
    week 12 at DEN L 36-39 2 4 2.0 0 1 0 0 - 0 0.4
    week 16 MIN W 37-35 1 5 5.0 0 0 0 0 - 0 0.5
season 2013 SF 7  -  12 59 4.9 0 3 2 16 8.0 0 8.5 1.2
    week 4 at STL W 35-11 3 0 0.0 0 0 0 0 - 0 0.0
    week 5 HOU W 34-3 4 31 7.8 0 0 0 0 - 0 3.1
    week 10 CAR L 9-10 1 -1 -1.0 0 0 0 0 - 0 -0.1
    week 11 at NO L 20-23 2 7 3.5 0 1 1 4 4.0 0 1.6
    week 12 at WAS W 27-6 0 0 - 0 1 0 0 - 0 0.0
    week 15 at TB W 33-14 2 22 11.0 0 0 0 0 - 0 2.2
    week 17 at ARI W 23-20 0 0 - 0 1 1 12 12.0 0 1.7
    week CC at SEA L 17-23 1 0 0.0 0 0 0 0 - 0 0.0
season 2012 SF 4  -  27 125 4.6 0 5 3 29 9.7 0 16.9 4.2
    week 14 MIA W 27-13 8 30 3.8 0 1 1 15 15.0 0 5.0
    week 15 at NE W 41-34 8 31 3.9 0 2 0 0 - 0 3.1
    week 16 at SEA L 13-42 4 15 3.8 0 2 2 14 7.0 0 3.9
    week 17 ARI W 27-13 7 49 7.0 0 0 0 0 - 0 4.9
    week DP GB W 45-31 3 21 7.0 0 1 1 7 7.0 0 3.3
    week CC at ATL W 28-24 5 34 6.8 1 1 1 4 4.0 0 10.3
    week SB BAL L 31-34 3 10 3.3 0 0 0 0 - 0 -1.0
