season 2012 TEN 2  -  2 14 7.0 0 5 3 12 4.0 0 4.1 2.1
    week 4 @HOU L 14-38 2 14 7.0 0 0 0 0 - 0 1.4
    week 5 @MIN L 7-30 0 0 - 0 5 3 12 4.0 0 2.7
season 2011 TEN 12 0 59 185 3.1 1 36 28 187 6.7 0 55.2 4.6
season 2010 TEN 16 0 51 239 4.7 2 8 7 44 6.3 0 43.8 2.7
season 2009 TEN 6 0 8 48 6.0 0 0 0 0 - 0 4.8 0.8
