season 2014 CHI 4 3 4 75.0% 5 6 12.0 3.0
    week 14 DAL L 28-41 0 0 0.0% 2 3 1.0
    week 15 NO L 15-31 0 0 0.0% 1 1 1.0
    week 16 DET L 14-20 0 0 0.0% 2 2 2.0
    week 17 at MIN L 9-13 3 4 75.0% 0 0 8.0
season 2013 ARI 16 30 36 83.3% 37 37 121.0 7.6
    week 1 at STL L 24-27 1 2 50.0% 3 3 5.0
    week 2 DET W 25-21 4 4 100.0% 1 1 13.0
    week 3 at NO L 7-31 0 0 0.0% 1 1 1.0
    week 4 at TB W 13-10 2 2 100.0% 1 1 7.0
    week 5 CAR W 22-6 2 2 100.0% 2 2 8.0
    week 6 at SF L 20-32 0 0 0.0% 2 2 2.0
    week 7 SEA L 22-34 3 3 100.0% 1 1 10.0
    week 8 ATL W 27-13 2 2 100.0% 3 3 9.0
    week 10 HOU W 27-24 2 2 100.0% 3 3 9.0
    week 11 at JAC W 27-14 2 2 100.0% 3 3 9.0
    week 12 IND W 40-11 4 5 80.0% 4 4 15.0
    week 13 at PHI L 21-24 0 0 0.0% 3 3 3.0
    week 14 STL W 30-10 0 2 0.0% 4 4 2.0
    week 15 at TEN W 37-34 3 3 100.0% 4 4 13.0
    week 16 at SEA W 17-10 3 3 100.0% 0 0 9.0
    week 17 SF L 20-23 2 4 50.0% 2 2 6.0
season 2012 ARI 15 25 28 89.3% 25 25 97.0 6.5
    week 1 SEA W 20-16 2 2 100.0% 2 2 8.0
    week 2 at NE W 20-18 2 2 100.0% 2 2 8.0
    week 3 PHI W 27-6 2 2 100.0% 3 3 9.0
    week 4 MIA W 24-21 1 1 100.0% 3 3 6.0
    week 5 at STL L 3-17 1 2 50.0% 0 0 2.0
    week 6 BUF L 16-19 3 4 75.0% 1 1 9.0
    week 7 at MIN L 14-21 0 1 0.0% 2 2 1.0
    week 8 SF L 3-24 1 1 100.0% 0 0 3.0
    week 9 at GB L 17-31 1 1 100.0% 2 2 5.0
    week 11 at ATL L 19-23 4 4 100.0% 1 1 13.0
    week 12 STL L 17-31 1 1 100.0% 2 2 5.0
    week 13 at NYJ L 6-7 2 2 100.0% 0 0 6.0
    week 15 DET W 38-10 1 1 100.0% 5 5 8.0
    week 16 CHI L 13-28 2 2 100.0% 1 1 7.0
    week 17 at SF L 13-27 2 2 100.0% 1 1 7.0
season 2011 ARI 16 19 24 79.2% 33 33 85.0 5.3
season 2010 ARI 16 24 27 88.9% 29 29 98.0 6.1
season 2009 NYJ 16 30 36 83.3% 32 32 116.0 7.3
season 2008 NYJ 15 24 28 85.7% 39 39 107.0 7.1
season 2007 MIA 16 21 23 91.3% 26 26 87.0 5.4
season 2006 NYG 16 23 27 85.2% 38 38 103.0 6.4
season 2005 NYG 16 35 42 83.3% 43 43 141.0 8.8
season 2004 ATL 16 18 23 78.3% 40 40 89.0 5.6
season 2003 ATL 16 19 27 70.4% 32 33 80.0 5.0
season 2002 ATL 16 32 40 80.0% 42 43 129.0 8.1
season 2001 ATL 16 29 37 78.4% 28 28 107.0 6.7
