season 2015 (Projected) OAK - 22 26 84.6% 36 36 98.0 -
season 2014 OAK 15 19 22 86.4% 28 28 82.0 5.5
    week 1 at NYJ L 14-19 0 0 0.0% 2 2 2.0
    week 2 HOU L 14-30 0 0 0.0% 2 2 2.0
    week 3 at NE L 9-16 3 3 100.0% 0 0 9.0
    week 4 MIA L 14-38 0 0 0.0% 2 2 2.0
    week 6 SD L 28-31 0 1 0.0% 4 4 3.0
    week 7 ARI L 13-24 2 2 100.0% 1 1 7.0
    week 8 at CLE L 13-23 2 2 100.0% 1 1 7.0
    week 9 at SEA L 24-30 1 2 50.0% 3 3 5.0
    week 10 DEN L 17-41 1 1 100.0% 2 2 5.0
    week 11 at SD L 6-13 2 2 100.0% 0 0 6.0
    week 12 KC W 24-20 1 1 100.0% 3 3 6.0
    week 14 SF W 24-13 1 1 100.0% 3 3 6.0
    week 15 at KC L 13-31 2 2 100.0% 1 1 7.0
    week 16 BUF W 26-24 4 5 80.0% 2 2 13.0
    week 17 at DEN L 14-47 0 0 0.0% 2 2 2.0
season 2013 OAK 16 21 30 70.0% 37 37 91.0 5.7
    week 1 at IND L 17-21 1 2 50.0% 2 2 4.0
    week 2 JAC W 19-9 4 5 80.0% 1 1 12.0
    week 3 at DEN L 21-37 0 0 0.0% 3 3 3.0
    week 4 WAS L 14-24 0 1 0.0% 2 2 1.0
    week 5 SD W 27-17 2 2 100.0% 3 3 9.0
    week 6 at KC L 7-24 0 1 0.0% 1 1 0.0
    week 8 PIT W 21-18 0 0 0.0% 3 3 3.0
    week 9 PHI L 20-49 2 2 100.0% 2 2 8.0
    week 10 at NYG L 20-24 2 2 100.0% 2 2 8.0
    week 11 at HOU W 28-23 0 1 0.0% 4 4 3.0
    week 12 TEN L 19-23 4 6 66.7% 1 1 11.0
    week 13 at DAL L 24-31 1 1 100.0% 3 3 6.0
    week 14 at NYJ L 27-37 2 3 66.7% 3 3 8.0
    week 15 KC L 31-56 1 1 100.0% 4 4 7.0
    week 16 at SD L 13-26 2 2 100.0% 1 1 7.0
    week 17 DEN L 14-34 0 1 0.0% 2 2 1.0
season 2012 OAK 16 31 34 91.2% 25 25 115.0 7.2
    week 1 SD L 14-22 2 2 100.0% 0 0 6.0
    week 2 at MIA L 13-35 2 2 100.0% 1 1 7.0
    week 3 PIT W 34-31 2 2 100.0% 4 4 10.0
    week 4 at DEN L 6-37 2 2 100.0% 0 0 6.0
    week 6 at ATL L 20-23 2 2 100.0% 2 2 8.0
    week 7 JAC W 26-23 4 5 80.0% 2 2 13.0
    week 8 at KC W 26-16 4 4 100.0% 2 2 14.0
    week 9 TB L 32-42 1 1 100.0% 3 3 6.0
    week 10 at BAL L 20-55 2 2 100.0% 2 2 8.0
    week 11 NO L 17-38 1 1 100.0% 2 2 5.0
    week 12 at CIN L 10-34 1 1 100.0% 1 1 4.0
    week 13 CLE L 17-20 1 2 50.0% 2 2 4.0
    week 14 DEN L 13-26 0 0 0.0% 1 1 1.0
    week 15 KC W 15-0 5 6 83.3% 0 0 14.0
    week 16 at CAR L 6-17 2 2 100.0% 0 0 6.0
    week 17 at SD L 21-24 0 0 0.0% 3 3 3.0
season 2011 OAK 15 31 35 88.6% 36 36 125.0 8.3
season 2010 OAK 16 33 41 80.5% 43 43 134.0 8.4
season 2009 OAK 16 26 29 89.7% 17 17 92.0 5.8
season 2008 OAK 16 24 30 80.0% 25 26 90.0 5.6
season 2007 OAK 16 23 32 71.9% 28 28 88.0 5.5
season 2006 OAK 16 18 25 72.0% 16 16 63.0 3.9
season 2005 OAK 16 20 30 66.7% 30 30 80.0 5.0
season 2004 OAK 16 25 28 89.3% 31 32 102.0 6.4
season 2003 OAK 16 22 25 88.0% 28 29 90.0 5.6
season 2002 OAK 16 26 33 78.8% 50 51 120.0 7.5
season 2001 OAK 15 23 28 82.1% 42 42 106.0 7.1
season 2000 OAK 14 22 32 68.8% 46 46 102.0 7.3
