season 2013 WAS 3 3 4 75.0% 7 7 15.0 5.0
    week 2 at GB L 20-38 0 1 0.0% 2 2 1.0
    week 3 DET L 20-27 2 2 100.0% 2 2 8.0
    week 4 at OAK W 24-14 1 1 100.0% 3 3 6.0
