season 2012 ARI 7  -  109 201 54.2 1132 2 9 4 5 1.3 0 35.8 5.1
    week 1 SEA W 20-16 14 28 50.0 149 0 1 1 2 2.0 0 4.2
    week 6 BUF L 16-19 2 10 20.0 45 0 1 0 0 - 0 -0.2
    week 7 at MIN L 14-21 25 36 69.4 262 1 1 0 0 - 0 12.5
    week 8 SF L 3-24 32 52 61.5 290 0 1 1 1 1.0 0 9.7
    week 9 at GB L 17-31 23 46 50.0 306 1 1 0 0 - 0 14.2
    week 11 at ATL L 19-23 2 7 28.6 6 0 0 0 0 - 0 0.2
    week 14 at SEA L 0-58 11 22 50.0 74 0 4 2 2 1.0 0 -4.8
season 2011 ARI 8 7 151 275 54.9 1913 11 14 28 128 4.6 0 105.3 13.2
season 2010 ARI 5 4 60 126 47.6 662 2 2 10 49 4.9 0 35.4 7.1
