season 2015 (Projected) WAS - - 13 21 61.9 145 0 1 1 4 4.0 0 4.2 -
season 2014 WAS 5  -  91 128 71.1 1057 4 3 16 66 4.1 1 64.9 13.0
    week 7 TEN W 19-17 11 12 91.7 128 1 0 2 3 1.5 0 9.4
    week 8 at DAL W 20-17 25 30 83.3 299 0 1 7 16 2.3 1 17.6
    week 13 at IND L 27-49 31 47 66.0 392 3 0 3 12 4.0 0 28.9
    week 14 STL L 0-24 20 32 62.5 199 0 2 2 11 5.5 0 5.1
    week 15 at NYG L 13-24 4 7 57.1 39 0 0 2 24 12.0 0 4.0
season 2013 SF 2  -  1 1 100.0 13 0 0 3 -3 -1.0 0 0.2 0.1
    week 5 HOU W 34-3 0 0 - 0 0 0 3 -3 -1.0 0 -0.3
    week 8 at JAC W 42-10 1 1 100.0 13 0 0 0 0 - 0 0.5
season 2012 CLE 2  -  9 17 52.9 79 1 0 4 15 3.8 0 8.7 4.3
    week 14 KC W 30-7 0 0 - 0 0 0 2 -2 -1.0 0 -0.2
    week 16 at DEN L 12-34 9 17 52.9 79 1 0 2 17 8.5 0 8.9
season 2011 CLE 13 13 265 463 57.2 2733 14 11 61 214 3.5 0 164.7 12.7
season 2010 CLE 8 8 135 222 60.8 1576 6 9 28 136 4.9 1 88.6 11.1
