season 2014 TEN 1  -  1 3 33.3 7 0 0 1 -1 -1.0 0 0.2 0.2
    week 17 IND L 10-27 1 3 33.3 7 0 0 1 -1 -1.0 0 0.2
season 2010 CIN 1 0 3 3 100.0 18 0 0 0 0 - 0 0.7 0.7
season 2009 CIN 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
season 2008 CIN 3 0 7 12 58.3 41 0 2 1 4 4.0 0 -2.0 -0.7
