season 2012 ARI 6  -  109 183 59.6 1169 8 3 16 100 6.3 1 88.8 14.8
    week 1 SEA W 20-16 6 8 75.0 66 1 0 1 -1 -1.0 0 6.5
    week 2 at NE W 20-18 15 27 55.6 140 1 0 6 20 3.3 1 17.6
    week 3 PHI W 27-6 17 24 70.8 222 2 0 4 16 4.0 0 18.5
    week 4 MIA W 24-21 29 48 60.4 324 3 2 0 0 - 0 21.0
    week 5 at STL L 3-17 28 50 56.0 289 0 0 1 2 2.0 0 11.8
    week 6 BUF L 16-19 14 26 53.8 128 1 1 5 66 13.2 0 13.7
season 2011 ARI 9 9 146 253 57.7 1955 9 8 17 65 3.8 0 104.7 11.6
season 2010 PHI 8 5 115 189 60.8 1197 7 7 14 68 4.9 0 68.7 8.6
season 2009 PHI 5 2 62 96 64.6 741 4 3 5 -1 -0.2 1 45.5 9.1
season 2008 PHI 7 0 17 34 50.0 144 0 4 13 2 0.2 0 -2.0 -0.3
season 2007 PHI 1 0 0 0 - 0 0 0 3 -2 -0.7 0 -0.2 -0.2
