season 2015 (Projected) NYG - - 8 13 61.5 85 0 0 1 3 3.0 0 3.7 -
season 2014 NYG 2  -  4 5 80.0 60 0 0 2 -3 -1.5 0 2.1 1.1
    week 6 at PHI L 0-27 4 5 80.0 60 0 0 0 0 - 0 2.4
    week 14 at TEN W 36-7 0 0 - 0 0 0 2 -3 -1.5 0 -0.3
