season 2012 BUF 2  -  3 5 60.0 30 0 0 1 -1 -1.0 0 1.1 0.6
    week 2 KC W 35-17 0 0 - 0 0 0 1 -1 -1.0 0 -0.1
    week 15 SEA L 17-50 3 5 60.0 30 0 0 0 0 - 0 1.2
season 2011 BUF 3 0 3 8 37.5 25 0 1 1 8 8.0 0 -0.2 -0.1
season 2010 MIA 5 1 33 62 53.2 435 2 2 13 73 5.6 0 28.7 5.7
season 2009 MIA | KC 2 0 4 8 50.0 83 1 2 2 3 1.5 0 3.6 1.8
season 2008 KC 14 11 230 420 54.8 2608 18 12 62 386 6.2 3 208.9 14.9
season 2007 KC 1 0 2 6 33.3 41 0 1 0 0 - 0 -0.4 -0.4
