season 2013 NYG 3  -  8 16 50.0 57 0 2 3 -2 -0.7 0 -1.9 -0.6
    week 3 at CAR L 0-38 2 4 50.0 16 0 1 0 0 - 0 -1.4
    week 15 SEA L 0-23 4 4 100.0 30 0 0 0 0 - 0 1.2
    week 17 WAS W 20-6 2 8 25.0 11 0 1 3 -2 -0.7 0 -1.8
season 2011 IND 9 8 132 243 54.3 1541 6 9 17 107 6.3 0 78.3 8.7
season 2010 IND 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
season 2009 IND 2 0 8 28 28.6 83 0 2 3 4 1.3 0 -0.3 -0.1
