season 2015 (Projected) CIN - - 7 12 58.3 81 0 0 1 2 2.0 0 3.4 -
season 2013 CIN 2  -  0 0 - 0 0 0 7 20 2.9 0 2.0 1.0
    week 8 NYJ W 49-9 0 0 - 0 0 0 3 17 5.7 0 1.7
    week 16 MIN W 42-14 0 0 - 0 0 0 4 3 0.8 0 0.3
season 2012 CLE 1  -  0 0 - 0 0 0 0 0 - 0 0.0 0.0
    week 17 @PIT L 10-24 0 0 - 0 0 0 0 0 - 0 0.0
season 2011 TB 9 1 19 34 55.9 246 1 2 11 67 6.1 0 16.5 1.8
season 2010 TB 10 0 14 16 87.5 111 0 0 4 39 9.8 0 8.3 0.8
season 2009 TB 5 4 63 125 50.4 685 4 8 22 148 6.7 0 42.2 8.4
season 2008 TB 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
