season 2015 (Projected) GB - - 9 13 69.2 104 0 0 1 4 4.0 0 4.6 -
season 2013 GB 3  -  55 90 61.1 717 1 5 5 55 11.0 1 34.2 11.4
    week 10 PHI L 13-27 24 39 61.5 280 1 2 1 19 19.0 0 13.1
    week 11 @NYG L 13-27 24 34 70.6 339 0 3 2 11 5.5 0 8.7
    week 12 MIN T 26-26 7 17 41.2 98 0 0 2 25 12.5 1 12.4
season 2011 SF 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
